Restaurants,address,city,ratings,prices,cuisines,Meal_Type,Restaurant_offer_percentage,Online_payment_offer_percentage
Pimlico,"Koregaon Park, Pune",Pune,3.8,1500,Multicuisine,Dinner,25,0
Cafe Blu,Radisson Blu Pune Hinjewadi,Pune,4.3,1500,Multicuisine,Dinner,50,25
The Dragon Fly By Radisson Hinjewadi,Radisson Blu Pune Hinjewadi,Pune,4.0,2500,Pan Asian,Dinner,50,25
Pune Sugar Box,"Conrad Pune, Pune",Pune,5.0,1200,"Desserts, Bakery",Dinner,15,25
Kwality Family Resto Bar ,"Shivaji Nagar, Pune",Pune,5.0,1500,Multicuisine,Dinner,10,25
Kabana,"Conrad Pune, Pune",Pune,4.6,3000,"European, Cafe",Dinner,20,25
Mood Drums,"Hinjawadi, Pune",Pune,2.3,1000,Multicuisine,Dinner,50,25
The Camden Lane,"Koregaon Park, Pune",Pune,4.3,1200,Multicuisine,Dinner,25,0
Shahji's Parantha House ,"Deccan Gymkhana, Pune",Pune,4.0,800,North Indian,Dinner,25,0
Santorini,Hilton Garden Inn Pune Hinjawadi,Pune,4.0,2400,"Mediterranean, Continental",Dinner,40,25
Tantrumss The Luxury Club & Kitchen,"Pimpri-Chinchwad, Pune",Pune,1.0,1200,Multicuisine,Dinner,50,25
Hidden Place- The Hangout,"Koregaon Park, Pune",Pune,4.3,1300,Multicuisine,Dinner,20,25
Masu,"Conrad Pune, Pune",Pune,4.3,3000,"Finger Food, Cocktail Menu",Dinner,20,25
Sreca Rooftop Lounge,"Pimple Nilakh, Pune",Pune,2.5,1300,Multicuisine,Dinner,40,25
Dario's,"Koregaon Park, Pune",Pune,4.0,1500,Italian,Dinner,25,0
FML - Food Music Love,"Kalyani Nagar, Pune",Pune,3.5,1900,Multicuisine,Dinner,45,25
Texas Tower,"Kharadi, Pune",Pune,4.4,1500,Multicuisine,Dinner,25,25
Upper Deck Lounge,"NIBM Road, Pune",Pune,5.0,1400,Multicuisine,Dinner,50,25
Casablanca The Lounge,"Koregaon Park, Pune",Pune,3.0,1800,Multicuisine,Dinner,25,25
Sorriso,Marriott Suites Pune,Pune,4.6,3500,"Continental, Italian",Dinner,30,25
 Budget Room By Unicorn House,"Kalyani Nagar, Pune",Pune,3.8,1000,Multicuisine,Dinner,50,25
Coco Café By Cococart,"Viman Nagar, Pune",Pune,5.0,800,Cafe,Dinner,30,25
3 Musketeers ,"Hinjawadi, Pune",Pune,4.3,1700,"Cocktail Menu, Multicuisine",Dinner,50,25
IHOP Restaurant,"Senapati Bapat Road, Pune",Pune,4.6,1500,American,Dinner,50,25
Annies Bar & Kitchen,"Koregaon Park, Pune",Pune,4.0,1500,"Finger Food, Cocktail Menu",Dinner,15,25
Gurdjieff's Restaurant & Bar,"Koregaon Park, Pune",Pune,4.8,1000,"Multicuisine, Cocktail Menu",Dinner,10,25
Loft On The Top,"Kondhwa, Pune",Pune,4.7,1800,Multicuisine,Dinner,50,25
Palmoco,"Koregaon Park, Pune",Pune,4.0,1300,"Cocktail Menu, Multicuisine",Dinner,15,25
The Cult - Terra,"Magarpatta, Pune",Pune,4.0,1700,Multicuisine,Dinner,30,25
L7 - Luxury Club & Kitchen,"Koregaon Park, Pune",Pune,4.2,1400,Multicuisine,Dinner,40,25
The Divine Cafe,"Koregaon Park, Pune",Pune,4.5,800,Multicuisine,Dinner,10,25
Daily Treats,"The Westin Pune Koregaon Park, Pune",Pune,4.1,1200,"Bakery, Cafe",Dinner,25,25
GILT Club,"Kharadi, Pune",Pune,2.4,1200,Multicuisine,Dinner,50,25
Majlis Darbar,"Camp Area, Pune",Pune,4.0,1200,Multicuisine,Dinner,10,25
Tuckd Away,"Koregaon Park, Pune",Pune,4.0,1000,Cafe,Dinner,10,25
Blue Pepper,The O Hotel Pune,Pune,3.0,2500,Multicuisine,Dinner,15,25
The 7a Restaurant and Bar,"Kharadi, Pune",Pune,5.0,1000,"Cocktail Menu, Multicuisine",Dinner,30,25
The Great Kabab Factory,Radisson Blu Hotel Pune Kharadi,Pune,4.0,4000,North Indian,Dinner,50,25
ZENZI Restaurant,"Dhole Patil Road, Pune",Pune,1.0,1000,Indian,Dinner,20,25
Eatery ,"Four Points by Sheraton, Pune",Pune,4.1,1200,"Multicuisine, All Day Dining",Dinner,50,25
Highland ,"Kalyani Nagar, Pune",Pune,1.0,1400,Multicuisine,Dinner,35,25
The Bridge,"Tarawade Clarks Inn, Pune",Pune,4.6,1500,Multicuisine,Dinner,25,0
Cafe Rova,"Kharadi, Pune",Pune,4.4,600,Multicuisine,Dinner,30,25
Wok Toss,"E-Square The Fern An Ecotel Hotel, Pune",Pune,4.8,1500,Pan Asian,Dinner,30,25
Punjab Grill,"Viman Nagar, Pune",Pune,4.3,2000,North Indian,Dinner,20,25
BNTR,"Koregaon Park, Pune",Pune,4.0,1400,"Multicuisine, Cocktail Menu",Dinner,25,0
Rustic Sand,"Hotel Rajmudra, Pune",Pune,5.0,1500,Multicuisine,Dinner,25,25
TQC- The Quarter company,"Viman Nagar, Pune",Pune,2.7,2300,Multicuisine,Dinner,35,25
Bloom Café,"Bloom Hotel - Koregaon Park,Pune",Pune,4.0,1200,Multicuisine,Dinner,25,0
Cafe Zen Courtyard,"Koregaon Park, Pune",Pune,4.0,1000,Multicuisine,Dinner,25,0
Big Table - The Veg Bar,"Coronet The Boutique Hotel, Pune",Pune,4.0,1200,Multicuisine,Dinner,25,0
Valour Kitchen & Bar,"Kharadi, Pune",Pune,1.0,1200,Multicuisine,Dinner,35,25
Yin Yang Bistro ,"Kothrud, Pune",Pune,4.3,1200,Multicuisine,Dinner,25,25
The Square,Novotel Pune Nagar Road,Pune,4.2,2500,Multicuisine,Dinner,25,25
Atmosphere 6,"Viman Nagar, Pune",Pune,4.5,2000,Multicuisine,Dinner,15,25
Spice It,"IBIS Pune Hotel, Hinjewadi",Pune,3.9,2000,Multicuisine,Dinner,50,25
Sheri (Patio & Casa),"Mundhwa, Pune",Pune,4.4,1000,Multicuisine,Dinner,25,25
Chufang Asian Kitchen & Bar,"Viman Nagar, Pune",Pune,5.0,1400,"Chinese, Japanese, Thai",Dinner,50,25
Ice N Fire SkyLounge,"Baner, Pune",Pune,3.6,1400,"Cocktail Menu, Multicuisine",Dinner,25,25
The Tenth Floor,"Baner, Pune",Pune,4.0,1500,Multicuisine,Dinner,20,25
KLEEO Kitchen and  Bar,"Baner, Pune",Pune,4.0,1400,Multicuisine,Dinner,40,25
Bombay Bistro,"Mahalunge, Pune",Pune,1.0,2000,Multicuisine,Dinner,30,25
Classico Kitchen And Bar,"Erandwane, Pune",Pune,4.2,1200,Multicuisine,Dinner,20,25
360 Degree - The Revolving Fine Dine Restaurant,"JM Road, Pune",Pune,4.4,1400,Multicuisine,Dinner,25,25
Express Cafe,Holiday Inn Express Pune Pimpri,Pune,5.0,800,Multicuisine,Dinner,20,25
Ten Cafe,"The Fern Residency, MIDC, Pune",Pune,4.4,1400,Multicuisine,Dinner,35,25
Saffron Restaurant ,"Kalyani Nagar, Pune",Pune,4.8,1200,North Indian,Dinner,15,25
Teritree,"Hadapsar, Pune",Pune,4.4,1500,Multicuisine,Dinner,15,25
Senses,Marriott Suites Pune,Pune,4.6,3500,Multicuisine,Dinner,20,25
Carmine,Radisson Blu Hotel Pune Kharadi,Pune,4.2,1200,Multicuisine,Dinner,50,25
Kasba,"Royal Orchid Golden Suits, Pune",Pune,3.3,1200,Multicuisine,Dinner,50,25
Teera,"Wakad, Pune",Pune,3.9,1500,Multicuisine,Dinner,25,25
C-Dock,"Pimpri, Pune",Pune,5.0,1500,Multicuisine,Dinner,30,25
C-Dock Lounge,"Pimpri, Pune",Pune,5.0,2000,Multicuisine,Dinner,30,25
Pasco Kitchen & Bar,"Pimple Saudagar, Pune",Pune,3.9,1500,Multicuisine,Dinner,30,25
Skye - Rooftop By Eternia,"Senapati Bapat Road, Pune",Pune,4.2,2000,"Multicuisine, Cocktail Menu",Dinner,15,25
24 Carat Lounge & Bar,"Bhugaon, Pune",Pune,4.0,180,Multicuisine,Dinner,30,25
Neighbourhud | All Day Bistro,"Baner, Pune",Pune,3.3,1500,Multicuisine,Dinner,25,25
Talli Bar & Kitchen,"Baner, Pune",Pune,4.0,1500,"Multicuisine, Cocktail Menu",Dinner,30,25
5ive By Radisson Hinjewadi,Radisson Blu Pune Hinjewadi,Pune,4.7,2000,Multicuisine,Dinner,50,25
Tales & Spirits,"Mundhwa, Pune",Pune,5.0,2000,Multicuisine,Dinner,10,25
HAPAA - Asian Stir,"Kalyani Nagar, Pune",Pune,4.4,1200,Asian,Dinner,20,25
Da Nonna's,"Deccan Gymkhana, Pune",Pune,4.7,1200,Italian,Dinner,15,25
Ishaara,"Viman Nagar, Pune",Pune,4.6,1200,Modern Indian,Dinner,15,25
Pergola De Pines,"Kalyani Nagar, Pune",Pune,4.1,1500,Multicuisine,Dinner,35,25
Vintage,THE HHI PUNE,Pune,4.0,1000,"Cocktail Menu, Finger Food",Dinner,35,25
Tryst,"FC Road, Pune",Pune,5.0,800,Multicuisine,Dinner,15,25
Sankalp Restaurant,"Kalyani Nagar, Pune",Pune,4.2,1200,South Indian,Dinner,15,25
Momentt - Enrise by Sayaji,"Wakad, Pune",Pune,4.4,800,Multicuisine,Dinner,30,25
Royal Deck,"Hadapsar, Pune",Pune,3.9,1350,Multicuisine,Dinner,1,1
Chaurahe Ke Paar,"Koregaon Park, Pune",Pune,3.9,1500,Multicuisine,Dinner,30,25
Makaira Kitchen And Bar,"Wakad, Pune",Pune,4.0,1200,Multicuisine,Dinner,40,25
The Old School Kitchen,"Kharadi, Pune",Pune,4.0,550,Fast Food,Dinner,30,25
Mogra Veg,"Bibwewadi , Pune",Pune,5.0,1000,Multicuisine,Dinner,10,25
Sasson - The Global Kitchen & Bar,"Hadapsar, Pune",Pune,4.5,1000,Pan Asian,Dinner,20,25
Rhythm Rooftop Bar And Kitchen,"Pimple Saudagar, Pune",Pune,2.7,1500,Multicuisine,Dinner,30,25
Shizusan,"Viman Nagar, Pune",Pune,4.4,1600,Pan Asian,Dinner,15,25
Tettoricca,"Pimpri-Chinchwad, Pune",Pune,4.0,1600,Multicuisine,Dinner,40,25
Circle of Crust ,"Salunkhe Vihar Road, Pune",Pune,4.2,500,Pizza,Dinner,20,25
Poise,"Hinjawadi, Pune",Pune,4.0,1200,Multicuisine,Dinner,45,25
The Bake House,Hyatt Regency Pune,Pune,4.0,1000,"Indian, Western",Dinner,30,25
Bao Story,"Hinjawadi, Pune",Pune,4.0,1200,Asian,Dinner,25,25
Allora,"Viman Nagar, Pune",Pune,4.5,1200,Italian,Dinner,20,25
YouMee,"Viman Nagar, Pune",Pune,4.5,900,Pan Asian,Dinner,15,25
Mutuswami Cafe,"Ramee Grand, Pune",Pune,4.3,500,South Indian,Dinner,10,25
Hippie@Heart,"Kothrud, Pune",Pune,4.4,1500,Multicuisine,Dinner,10,25
Lavanya Veg Restaurant,"NIBM Road, Pune",Pune,3.6,450,Multicuisine,Dinner,30,25
Mafia Sky Lounge,"Wadgaon Sheri, Pune",Pune,4.2,2000,Multicuisine,Dinner,10,25
Largo Pizzeria,"Salunkhe Vihar Road, Pune",Pune,4.0,600,"Italian, Pizza",Dinner,10,25
La Belle Resto Bar,"Hinjawadi, Pune",Pune,4.0,1000,Multicuisine,Dinner,35,25
Santorini Black ,Hilton Garden Inn Pune Hinjawadi,Pune,5.0,1500,"Beverages, Indian, Fusion",Dinner,30,25
The Voyage Cafe,"Koregaon Park, Pune",Pune,4.9,1000,Continental,Dinner,35,25
Cafe 1730,"Kharadi, Pune",Pune,4.3,1400,Multicuisine,Dinner,15,25
Mix,"Royal Orchid Central, Pune",Pune,4.0,1300,Multicuisine,Dinner,25,25
The Ruby Hilltop,"Pashan, Pune",Pune,4.3,1400,"Cocktail Menu, Multicuisine",Dinner,10,25
Yakii,"Deccan Gymkhana, Pune",Pune,3.0,1200,Asian,Dinner,20,25
Amara Multicuisine Restaurant,"Mundhwa, Pune",Pune,5.0,1000,Multicuisine,Dinner,20,25
Fuzion,Novotel Pune Nagar Road,Pune,4.0,1800,Multicuisine,Dinner,25,25
Magic Plate- Indian Bistro,"Baner, Pune",Pune,4.0,1000,Multicuisine,Dinner,30,25
Big Little Brew Pub,"Kharadi, Pune",Pune,4.6,1800,Multicuisine,Dinner,25,25
The Market,"The Westin Pune Koregaon Park, Pune",Pune,4.5,2800,Multicuisine,Dinner,25,25
Seven Ace Kitchen & Bar,"Viman Nagar, Pune",Pune,4.0,1400,Multicuisine,Dinner,25,25
De Kettle,"Mohammed Wadi, Pune",Pune,4.0,500,"Sandwiches, Burgers, Fast Food",Dinner,40,25
Zeta,Hyatt Regency Pune,Pune,4.4,2800,Italian,Dinner,20,25
Gola Sizzlers,"Viman Nagar, Pune",Pune,4.6,2000,Multicuisine,Dinner,20,25
Spice And Spirits,"Baner, Pune",Pune,4.0,1500,Multicuisine,Dinner,30,25
Kukoo - Bar,"Kalyani Nagar, Pune",Pune,3.3,1500,Multicuisine,Dinner,20,25
Ek Punjab Dhaba ,"Pimple Saudagar, Pune",Pune,5.0,1500,Multicuisine,Dinner,30,25
Mitra - The Quarter Bar,"Baner, Pune",Pune,4.0,1500,Multicuisine,Dinner,45,25
Spice Culture Bar And Kitchen,"Kondhwa, Pune",Pune,4.0,1500,Multicuisine,Dinner,20,25
Vega,"Lulla Nagar, Pune",Pune,4.0,1000,Multicuisine,Dinner,20,25
Soy Como Soy,"Koregaon Park, Pune",Pune,5.0,2000,Multicuisine,Dinner,10,25
Caffe & Te - All Day Cafe,"Viman Nagar, Pune",Pune,5.0,500,Cafe,Dinner,15,25
The Sea Secret,"NIBM Road, Pune",Pune,4.5,1800,Seafood,Dinner,15,25
Mister Merchant's,"Kalyani Nagar, Pune",Pune,4.5,2000,"Kebabs, Shawarma, Desserts, Middle Eastern, Modern Indian, Multicuisine",Dinner,25,25
Her Highness ,"Yerawada, Pune",Pune,4.6,800,Multicuisine,Dinner,10,25
Tipplr,"Deccan Gymkhana, Pune",Pune,4.0,1200,Multicuisine,Dinner,20,25
Soch Et Latte,"Viman Nagar, Pune",Pune,5.0,600,"Cafe, Coffee",Dinner,15,25
The Wise Guys- Sky Lounge & Pub,"Wakad, Pune",Pune,4.1,2000,Multicuisine,Dinner,35,25
Exotica,"Yerawada, Pune",Pune,4.1,2000,Multicuisine,Dinner,10,25
July7,"Pimpri-Chinchwad, Pune",Pune,4.8,1200,Multicuisine,Dinner,10,25
New Moshi Grrand,"Bhosari, Pune",Pune,4.2,1200,Multicuisine,Dinner,15,25
Cibbo All Day Dining & Bar,"Shivaji Nagar, Pune",Pune,4.0,1400,Continental,Dinner,20,25
Code The Speakeasy Bar,"Kothrud, Pune",Pune,4.2,1200,"Cocktail Menu, Multicuisine",Dinner,15,25
Global Punjab,"Baner, Pune",Pune,5.0,1200,North Indian,Dinner,10,25
 Zaika Caterers & Restaurant,"Dhanori, Pune",Pune,5.0,1000,Mughlai,Dinner,10,25
 The Tipsy Kitchen & Bar,"Kothrud, Pune",Pune,5.0,1200,Multicuisine,Dinner,10,25
Cafe Community,"Kothrud, Pune",Pune,5.0,500,"European, Italian",Dinner,25,25
Spice Tawa,"Wakad, Pune",Pune,3.3,800,Seafood,Dinner,25,25
Arthur's Theme,"Koregaon Park, Pune",Pune,4.7,1500,European,Dinner,25,0
Barrio Roof Top Kitchen And Bar,"Pimple Saudagar, Pune",Pune,3.8,1600,Multicuisine,Dinner,20,25
Barbeque Nation,"Kalyani Nagar, Pune",Pune,4.7,2100,"Barbeque, Multicuisine",Dinner,25,0
Sky Stories,"Baner, Pune",Pune,3.9,1150,Multicuisine,Dinner,25,25
MOH Bistro & Barrels,"Mundhwa, Pune",Pune,5.0,1500,Multicuisine,Dinner,45,25
Baan Tao - Exotic Oriental,"Hyatt Pune, Kalyani Nagar",Pune,4.7,2800,"Chinese, Pan Asian",Dinner,25,25
The Barkhana,"Wakad, Pune",Pune,4.4,1300,"Pan Asian, Indian",Dinner,20,25
Saanjh - An Evening Full Of Flavours,"Viman Nagar, Pune",Pune,4.8,1000,Multicuisine,Dinner,10,25
Kebab Unlimited,THE HHI PUNE,Pune,4.3,1800,Kebabs,Dinner,25,25
Kothimbir Family Restaurant,"Hadapsar, Pune",Pune,4.0,400,Multicuisine,Dinner,10,25
KIKO Bar & Grill,"Kyriad Hotel Pimpri, Pune",Pune,4.7,1500,"Fusion, oriental",Dinner,15,25
The Eye Club,THE HHI PUNE,Pune,4.1,1500,Multicuisine,Dinner,25,25
Ventana ,"Viman Nagar, Pune",Pune,3.5,1300,Multicuisine,Dinner,20,25
Ekaa Food Works,"Kalyani Nagar, Pune",Pune,5.0,300,Indian,Dinner,20,25
Zeeshan Restaurant- Apna Hyderabadi Food,"Viman Nagar, Pune",Pune,3.2,900,"Indian, Hyderabadi",Dinner,10,25
The Bridge & SKYE,Radisson Blu Hotel Pune Kharadi,Pune,4.0,1200,Mexican,Dinner,25,25
Springrose Restaurant & Banquets,"Wakad, Pune",Pune,4.8,1200,Multicuisine,Dinner,10,25
Oceanic ,"Kalyani Nagar, Pune",Pune,3.7,1100,Multicuisine,Dinner,25,25
Favela ,"Hinjawadi, Pune",Pune,4.176026926775656,2000,"Cocktail Menu, Multicuisine",Dinner,50,25
Communion Cafe,"Lohegaon, Pune",Pune,5.0,1200,Continental,Dinner,10,25
Azzurro,"Wakad, Pune",Pune,4.0,1200,Multicuisine,Dinner,25,25
Beer & Beans,"NIBM Road, Pune",Pune,3.3,1400,Continental,Dinner,10,25
Nincasa,"Mundhwa, Pune",Pune,5.0,1500,Multicuisine,Dinner,10,25
Rude Lounge,"Viman Nagar, Pune",Pune,4.0,1200,Multicuisine,Dinner,20,25
Circuit House,"Baner, Pune",Pune,4.6,2000,Multicuisine,Dinner,15,25
Backyard Palms ,"Ravet, Pune",Pune,3.7,1200,Multicuisine,Dinner,15,25
Le Stone ,"Ravet, Pune",Pune,4.6,1500,"Chinese, North Indian",Dinner,20,25
Yakii,"Baner, Pune",Pune,4.0,1500,"Japanese, Multicuisine",Dinner,25,25
The Waterfall Lounge,"Hyatt Pune, Kalyani Nagar",Pune,4.0,1000,French,Dinner,20,25
Hotel Saudagar Restaurant,"Pimple Saudagar, Pune",Pune,3.7,1100,Chinese,Dinner,15,25
Dikhawa,"Hotel Deccan Pavilion, Pune",Pune,4.0,1400,Multicuisine,Dinner,20,25
Dobaraa,"Viman Nagar, Pune",Pune,4.2,1200,Multicuisine,Dinner,20,25
Barista Coffee,"Law College Road, Pune",Pune,5.0,300,Cafe,Dinner,20,25
Foo KOPA,"Koregaon Park, Pune",Pune,4.4,2000,"Chinese, Sushi, Asian",Dinner,0,25
Open Window Cafe Bistro,"Shivaji Nagar, Pune",Pune,4.4,1300,"Thai, Multicuisine, Italian, Continental, Beverages, Cafe",Dinner,15,25
1BHK Superbar,"Baner, Pune",Pune,3.8,2000,"Multicuisine, Cocktail Menu",Dinner,10,25
Gong,"Baner, Pune",Pune,4.6,1200,Pan Asian,Dinner,10,25
Mambo's Lakeside Cafe ,"Bhugaon, Pune",Pune,4.0,1400,Multicuisine,Dinner,25,25
Nativ,"Baner, Pune",Pune,3.6,1500,"Indian, European, Asian",Dinner,10,25
Azu Bar,"Bhosari, Pune",Pune,4.0,1500,Multicuisine,Dinner,25,25
Sarovarr A Multicuisine Restaurant ,"Bhugaon, Pune",Pune,3.4,1400,Multicuisine,Dinner,25,25
Oleole |The Luxurious Club,"Baner, Pune",Pune,5.0,1500,"Cocktail Menu, Multicuisine",Dinner,35,25
KKS' Kitchen Multicuisine Restaurant,"Wagholi, Pune",Pune,3.0,700,Multicuisine,Dinner,10,25
Two Sticks,"Baner, Pune",Pune,4.5,1400,Chinese,Dinner,10,25
Shivlingam Veg Restaurant,"Lavale, Pune",Pune,4.5,1700,Multicuisine,Dinner,20,25
Apna Adda,"Wakad, Pune",Pune,4.5,600,"Chinese, Maharashtrian, Mughlai, North Indian, South Indian, Multicuisine",Dinner,20,25
Mikachi Club,"Kharadi, Pune",Pune,2.8,1900,Multicuisine,Dinner,20,25
Le Parc ,"Wakad, Pune",Pune,3.9,1200,Multicuisine,Dinner,20,25
Beer & Beans,"Baner, Pune",Pune,5.0,1400,Continental,Dinner,10,25
Sash Cocktail Bar & Kitchen,"Viman Nagar, Pune",Pune,3.6,1200,"Cocktail Menu, Multicuisine",Dinner,30,25
Earth Houz,"Kondhwa, Pune",Pune,4.4,1000,"Indian, North Indian",Dinner,15,25
Aubergine,Hotel Parc Estique Pune,Pune,3.6,2000,"All Day Dining, Multicuisine",Dinner,30,25
Opel Kitchen And Bar,"Wakad, Pune",Pune,4.0,1200,Multicuisine,Dinner,20,25
The Revolution Bar,"Baner, Pune",Pune,5.0,1500,"Cocktail Menu, Multicuisine",Dinner,15,25
Hotel Sanket Inn,"Wakad, Pune",Pune,4.1,1200,Multicuisine,Dinner,20,25
Cafe Co2 Resto Lounge,"Bhugaon, Pune",Pune,4.0,3000,Multicuisine,Dinner,20,25
Soak,Novotel Pune Nagar Road,Pune,3.0,1800,Multicuisine,Dinner,15,25
Gravity Family Resto Bar,"Hinjawadi, Pune",Pune,5.0,1000,Multicuisine,Dinner,10,25
Kyma,"Ghorpadi, Pune",Pune,4.7,1000,"Mediterranean, Asian",Dinner,15,25
Mekong Folks,"Balewadi, Pune",Pune,4.6,2500,Pan Asian,Dinner,15,25
Baraza Beer Garden,"Pubtown, Pune",Pune,4.3,2000,"Continental, Chinese, Finger Food, North Indian, Cocktail Menu, Pizza",Dinner,10,25
Sahib E Swad,"Kalyani Nagar, Pune",Pune,4.0,1000,"North Indian, Chinese, Asian, Punjabi",Dinner,15,25
Barbecue Experts,"Lohegaon, Pune",Pune,4.9,1200,Multicuisine,Dinner,10,25
Ya Basa The Dhaba,"Baner, Pune",Pune,5.0,1200,Multicuisine,Dinner,20,25
Escada - All Day Kitchen & Bar,"Viman Nagar, Pune",Pune,3.8,1300,Multicuisine,Dinner,20,25
NUSARA,"Ramee Grand, Pune",Pune,4.7,1400,Pan Asian,Dinner,20,25
Planet 9,"Bavdhan, Pune",Pune,3.6,2000,Multicuisine,Dinner,20,25
Copa De Colina,"Lohegaon, Pune",Pune,3.0,1300,Multicuisine,Dinner,20,25
The Sky Dine,"Viman Nagar, Pune",Pune,3.0,1000,"North Indian, Chinese",Dinner,20,25
Nagpal’s Chole Bhature,"Nigdi, Pune",Pune,5.0,500,Fast Food,Dinner,25,25
Twelve21,"Ravet, Pune",Pune,3.0,1400,Multicuisine,Dinner,15,25
Fatcook ,"Baner, Pune",Pune,5.0,700,Multicuisine,Dinner,10,25
Trooh,"Kalyani Nagar, Pune",Pune,4.0,1500,"Italian, Thai Food, North Indian",Dinner,25,0
Cafe 88,"Hyatt Pune, Kalyani Nagar",Pune,4.3,2100,"North Indian, Continental",Dinner,25,25
Onesta,"Hadapsar, Pune",Pune,4.0,800,Italian,Dinner,20,25
Meet N Eat,"Kharadi, Pune",Pune,4.0,900,Multicuisine,Dinner,20,25
3 Spices,DoubleTree by Hilton Hotel Pune Chinchwad,Pune,4.0,1500,"All Day Dining, Multicuisine",Dinner,15,25
Bacharika- Rooftop Bar & Kitchen ,"Kothrud, Pune",Pune,4.1,1800,Multicuisine,Dinner,10,25
Charcoal,"Sus Gaon, Pune",Pune,5.0,1500,Multicuisine,Dinner,10,25
Awadh ,"Shivaji Nagar, Pune",Pune,3.0,1000,Mughlai,Dinner,25,25
Lola Cafe & Bar,"Lonavala, Pune",Pune,4.6,1100,Multicuisine,Dinner,10,25
Taco and Tequila Co,"Kalyani Nagar, Pune",Pune,4.0,1500,Mexican,Dinner,10,25
Klinq - Cocktails & Cuisine,"Viman Nagar, Pune",Pune,3.9,1400,Multicuisine,Dinner,25,0
Kiosk Kaffee,"Wakad, Pune",Pune,4.0,300,Coffee,Dinner,10,25
Ten Feet Underground Bar & Eatery,"Pashan, Pune",Pune,4.0,1100,Multicuisine,Dinner,35,25
Brewing Bistro,"Baner, Pune",Pune,4.5,600,"Fast Food, Continental",Dinner,15,25
Kothimbir Family Restaurant ,"Mundhwa, Pune",Pune,5.0,400,Multicuisine,Dinner,25,25
Farmaaish,"Viman Nagar, Pune",Pune,3.8,1400,Multicuisine,Dinner,15,25
The Basil Deck,"Satara Road, Pune",Pune,4.0,1400,Multicuisine,Dinner,10,25
Masakha - Seafood Resto & Bar,"Narhe, Pune",Pune,3.3,1300,Seafood,Dinner,15,25
Cafe Kathaa,"FC Road, Pune",Pune,4.2,1000,Multicuisine,Dinner,15,25
T Lounge,"The T Hotels, Pune",Pune,4.0,1600,"Seafood, Multicuisine",Dinner,25,25
Marrakesh,"Kalyani Nagar, Pune",Pune,5.0,1100,"Indian, Mughlai",Dinner,15,25
Shree Ram Veg,"Hadapsar, Pune",Pune,4.0,600,Multicuisine,Dinner,25,0
Atithi Veg,"Undri, Pune",Pune,3.7,1000,Multicuisine,Dinner,10,25
Azul - Brews & Bites,"Viman Nagar, Pune",Pune,4.0,800,Multicuisine,Dinner,15,25
DaWholesum Resto-Cafe,"Deccan Gymkhana, Pune",Pune,4.0,700,Continental,Dinner,15,25
The Fisherman's Wharf,"Viman Nagar, Pune",Pune,4.9,1500,Multicuisine,Dinner,20,25
Sattva Pure,"Baner, Pune",Pune,5.0,900,Multicuisine,Dinner,10,25
We Idliwale,"NIBM Road, Pune",Pune,5.0,600,South Indian,Dinner,10,25
Cafe Warm Gloves,"Bibwewadi , Pune",Pune,5.0,800,Multicuisine,Dinner,10,25
Nothing Before Coffee,"Kalyani Nagar, Pune",Pune,5.0,300,Cafe,Dinner,10,25
Pivo Garten,"Mundhwa, Pune",Pune,3.0,1200,Multicuisine,Dinner,10,25
FC Plajzaa Multicuisine Garden Resto-Bar,"Hotel Ashish Plaza, Pune",Pune,5.0,1500,Multicuisine,Dinner,10,25
Blue Shack,"Mundhwa, Pune",Pune,5.0,1850,Multicuisine,Dinner,10,25
Forest Farmer Coffee Roasters,"Senapati Bapat Road, Pune",Pune,5.0,800,Multicuisine,Dinner,10,25
Fish Curry Rice,"Sadashiv Peth, Pune",Pune,5.0,800,Indian,Dinner,10,25
Golden Birdwing,"Cocoon Hotel, Pune",Pune,4.5,1500,Multicuisine,Dinner,10,25
 Kurry Leaf,"Erandwane, Pune",Pune,4.5,1200,Multicuisine,Dinner,0,25
Gallery Cafe,HYATT PLACE Pune/Hinjawadi,Pune,4.2,2800,Multicuisine,Dinner,20,25
Baba's,"Baner, Pune",Pune,4.7,1000,"Chinese, Indian",Dinner,25,0
Faro - The Sky Dine,"Pimpri, Pune",Pune,4.0,1200,Multicuisine,Dinner,10,25
Level One Restaurant & Cafe ,"Hotel Utsav Deluxe, Pune",Pune,3.2,1100,Multicuisine,Dinner,10,25
Cafe Ekaant,"Kalyani Nagar, Pune",Pune,4.5,1200,Continental,Dinner,10,25
Zyzzyva,"Magarpatta, Pune",Pune,4.2,1500,Multicuisine,Dinner,10,25
Mmyra Lounge,"FC Road, Pune",Pune,3.5,1600,Multicuisine,Dinner,15,25
The Paraiso ,"Hinjawadi, Pune",Pune,4.0,1500,Multicuisine,Dinner,15,25
Tiger Trail,Regenta Central Grand Exotica Pune,Pune,4.0,1200,Indian,Dinner,20,25
Tangelo,"Kyriad Hotel Pimpri, Pune",Pune,4.0,1500,"Fusion, oriental",Dinner,20,25
Swadeep Restaurant,"Talwade, Pune",Pune,4.0,600,Multicuisine,Dinner,20,25
Western Hills Family Resort,"Balewadi, Pune",Pune,4.0,1000,European,Dinner,20,25
Jungle Cafe,"Lohegaon, Pune",Pune,4.0,600,Multicuisine,Dinner,20,25
Sky Deck,"Chinchwad, Pune",Pune,2.7,1200,Multicuisine,Dinner,10,25
